Pull Request Name,Creation Date,Author
feat: list memberships as client,2024-11-01T11:39:23Z,
feat: PubSub adapter support,2024-10-31T12:12:27Z,
feat: Warn if null or empty key is passed,2024-10-30T21:05:21Z,
Fix 2365 Oauth2 does not add port number to uri,2024-10-29T20:40:48Z,
Fix XDebug Extension not being removed,2024-10-29T08:20:51Z,
feat: insights,2024-10-27T10:48:58Z,
Create README-ES.md (Spanish/Español),2024-10-27T10:42:47Z,
fix refreshToken missing in google oauth,2024-10-26T11:44:15Z,
Feat sites,2024-10-25T16:48:40Z,
make view api use file cache,2024-10-25T15:39:11Z,
Update CONTRIBUTING.md,2024-10-24T16:27:36Z,
fix: createuser... endpoints return a vague server error when null name is provided,2024-10-24T09:49:16Z,
📚 Documentation: Deprecation of ${workspaceRoot} in VSCode debug config for XDebug setup. #8814,2024-10-22T12:22:39Z,
feat: move certificate generation to Adapter,2024-10-22T11:57:40Z,
Memcached for /view endpoint,2024-10-20T12:31:30Z,
feat: custom registrar,2024-10-18T19:45:26Z,
feat: add health-check that monitores pending certificates queue,2024-10-18T10:58:12Z,
fix: test flakiness,2024-10-15T18:40:38Z,
Rewrite function variables endpoints with http syntax,2024-10-14T15:49:20Z,
update docker image to use the latest image tag,2024-10-14T10:20:31Z,
Feat migration,2024-10-14T01:29:38Z,
Reduce builds usage storage,2024-10-10T19:40:35Z,
example: compose files,2024-10-09T10:20:00Z,
Adds state parameter to OAuth2 flow,2024-10-09T00:49:17Z,
Replace expectException with try/catch,2024-10-03T10:22:11Z,
